Step,arm_std,original_ppo_debug - PPO/arm_mean_exploration__MIN,original_ppo_debug - PPO/arm_mean_exploration__MAX
1,0.30065035820007324,0.30065035820007324,0.30065035820007324
4,0.30260321497917175,0.30260321497917175,0.30260321497917175
5,0.3033462464809418,0.3033462464809418,0.3033462464809418
6,0.30357271432876587,0.30357271432876587,0.30357271432876587
10,0.30496153235435486,0.30496153235435486,0.30496153235435486
12,0.30599212646484375,0.30599212646484375,0.30599212646484375
15,0.3075430989265442,0.3075430989265442,0.3075430989265442
17,0.30920737981796265,0.30920737981796265,0.30920737981796265
18,0.30938923358917236,0.30938923358917236,0.30938923358917236
19,0.30986398458480835,0.30986398458480835,0.30986398458480835
20,0.3103182315826416,0.3103182315826416,0.3103182315826416
22,0.31135281920433044,0.31135281920433044,0.31135281920433044
26,0.31353601813316345,0.31353601813316345,0.31353601813316345
27,0.3137103021144867,0.3137103021144867,0.3137103021144867
28,0.3138250708580017,0.3138250708580017,0.3138250708580017
34,0.3156535029411316,0.3156535029411316,0.3156535029411316
35,0.3160133957862854,0.3160133957862854,0.3160133957862854
36,0.3165273070335388,0.3165273070335388,0.3165273070335388
37,0.31696292757987976,0.31696292757987976,0.31696292757987976
40,0.3183543384075165,0.3183543384075165,0.3183543384075165
43,0.31913629174232483,0.31913629174232483,0.31913629174232483
45,0.3202510476112366,0.3202510476112366,0.3202510476112366
46,0.32078588008880615,0.32078588008880615,0.32078588008880615
47,0.3212147057056427,0.3212147057056427,0.3212147057056427
49,0.3223271667957306,0.3223271667957306,0.3223271667957306
51,0.3231273293495178,0.3231273293495178,0.3231273293495178
52,0.32367831468582153,0.32367831468582153,0.32367831468582153
53,0.3243030607700348,0.3243030607700348,0.3243030607700348
54,0.32496508955955505,0.32496508955955505,0.32496508955955505
57,0.3259797990322113,0.3259797990322113,0.3259797990322113
58,0.32595667243003845,0.32595667243003845,0.32595667243003845
59,0.32623130083084106,0.32623130083084106,0.32623130083084106
60,0.3266012370586395,0.3266012370586395,0.3266012370586395
63,0.3273477256298065,0.3273477256298065,0.3273477256298065
64,0.32738107442855835,0.32738107442855835,0.32738107442855835
67,0.32852938771247864,0.32852938771247864,0.32852938771247864
69,0.3298896849155426,0.3298896849155426,0.3298896849155426
71,0.330911248922348,0.330911248922348,0.330911248922348
72,0.3310530483722687,0.3310530483722687,0.3310530483722687
73,0.3312755823135376,0.3312755823135376,0.3312755823135376
74,0.33189117908477783,0.33189117908477783,0.33189117908477783
75,0.33261263370513916,0.33261263370513916,0.33261263370513916
77,0.33392536640167236,0.33392536640167236,0.33392536640167236
78,0.33454403281211853,0.33454403281211853,0.33454403281211853
80,0.3355826437473297,0.3355826437473297,0.3355826437473297
83,0.3362800180912018,0.3362800180912018,0.3362800180912018
84,0.3365843594074249,0.3365843594074249,0.3365843594074249
86,0.33741042017936707,0.33741042017936707,0.33741042017936707
88,0.33819156885147095,0.33819156885147095,0.33819156885147095
89,0.3385390341281891,0.3385390341281891,0.3385390341281891
92,0.33948826789855957,0.33948826789855957,0.33948826789855957
94,0.3398410975933075,0.3398410975933075,0.3398410975933075
95,0.3400838375091553,0.3400838375091553,0.3400838375091553
97,0.34102505445480347,0.34102505445480347,0.34102505445480347
100,0.3422134518623352,0.3422134518623352,0.3422134518623352
101,0.3427671790122986,0.3427671790122986,0.3427671790122986
103,0.34341326355934143,0.34341326355934143,0.34341326355934143
104,0.343558132648468,0.343558132648468,0.343558132648468
106,0.34357860684394836,0.34357860684394836,0.34357860684394836
108,0.344061940908432,0.344061940908432,0.344061940908432
109,0.3445286750793457,0.3445286750793457,0.3445286750793457
118,0.347514808177948,0.347514808177948,0.347514808177948
119,0.3476484715938568,0.3476484715938568,0.3476484715938568
122,0.34862253069877625,0.34862253069877625,0.34862253069877625
124,0.3495563566684723,0.3495563566684723,0.3495563566684723
126,0.350765198469162,0.350765198469162,0.350765198469162
