Step,arm_std,ppo-x20Z1-terrain_v0.0.1 - PPO/arm_action_std__MIN,ppo-x20Z1-terrain_v0.0.1 - PPO/arm_action_std__MAX
1,0.30276811122894287,0.30276811122894287,0.30276811122894287
17,0.316337525844574,0.316337525844574,0.316337525844574
18,0.31705668568611145,0.31705668568611145,0.31705668568611145
22,0.32034963369369507,0.32034963369369507,0.32034963369369507
26,0.3236004114151001,0.3236004114151001,0.3236004114151001
34,0.3280954360961914,0.3280954360961914,0.3280954360961914
36,0.3290640413761139,0.3290640413761139,0.3290640413761139
49,0.3368884325027466,0.3368884325027466,0.3368884325027466
59,0.3405005633831024,0.3405005633831024,0.3405005633831024
60,0.34065958857536316,0.34065958857536316,0.34065958857536316
64,0.34223097562789917,0.34223097562789917,0.34223097562789917
67,0.3433445692062378,0.3433445692062378,0.3433445692062378
73,0.3443009555339813,0.3443009555339813,0.3443009555339813
77,0.34524011611938477,0.34524011611938477,0.34524011611938477
78,0.34568020701408386,0.34568020701408386,0.34568020701408386
88,0.34841251373291016,0.34841251373291016,0.34841251373291016
92,0.3487715721130371,0.3487715721130371,0.3487715721130371
95,0.3489346504211426,0.3489346504211426,0.3489346504211426
97,0.3495493531227112,0.3495493531227112,0.3495493531227112
103,0.3505517244338989,0.3505517244338989,0.3505517244338989
119,0.35416242480278015,0.35416242480278015,0.35416242480278015
143,0.3589181900024414,0.3589181900024414,0.3589181900024414
149,0.3603723347187042,0.3603723347187042,0.3603723347187042
151,0.3605673015117645,0.3605673015117645,0.3605673015117645
154,0.36119961738586426,0.36119961738586426,0.36119961738586426
155,0.361571341753006,0.361571341753006,0.361571341753006
157,0.3620966076850891,0.3620966076850891,0.3620966076850891
160,0.3629673719406128,0.3629673719406128,0.3629673719406128
163,0.3639694154262543,0.3639694154262543,0.3639694154262543
164,0.3641359508037567,0.3641359508037567,0.3641359508037567
167,0.36489754915237427,0.36489754915237427,0.36489754915237427
172,0.36528080701828003,0.36528080701828003,0.36528080701828003
174,0.3655758202075958,0.3655758202075958,0.3655758202075958
176,0.3661724925041199,0.3661724925041199,0.3661724925041199
185,0.3679310977458954,0.3679310977458954,0.3679310977458954
193,0.36883360147476196,0.36883360147476196,0.36883360147476196
212,0.3730158507823944,0.3730158507823944,0.3730158507823944
222,0.37620246410369873,0.37620246410369873,0.37620246410369873
225,0.37747299671173096,0.37747299671173096,0.37747299671173096
231,0.37880128622055054,0.37880128622055054,0.37880128622055054
247,0.3851304054260254,0.3851304054260254,0.3851304054260254
250,0.38634076714515686,0.38634076714515686,0.38634076714515686
259,0.387661337852478,0.387661337852478,0.387661337852478
266,0.3911612927913666,0.3911612927913666,0.3911612927913666
274,0.39404067397117615,0.39404067397117615,0.39404067397117615
277,0.3949090838432312,0.3949090838432312,0.3949090838432312
278,0.3952047526836395,0.3952047526836395,0.3952047526836395
281,0.3963797390460968,0.3963797390460968,0.3963797390460968
290,0.40037456154823303,0.40037456154823303,0.40037456154823303
292,0.4011994004249573,0.4011994004249573,0.4011994004249573
295,0.40200936794281006,0.40200936794281006,0.40200936794281006
301,0.4045959711074829,0.4045959711074829,0.4045959711074829
304,0.40523725748062134,0.40523725748062134,0.40523725748062134
305,0.4051905870437622,0.4051905870437622,0.4051905870437622
309,0.4072439670562744,0.4072439670562744,0.4072439670562744
314,0.40923479199409485,0.40923479199409485,0.40923479199409485
317,0.41028255224227905,0.41028255224227905,0.41028255224227905
318,0.4104713201522827,0.4104713201522827,0.4104713201522827
337,0.41409897804260254,0.41409897804260254,0.41409897804260254
353,0.41965484619140625,0.41965484619140625,0.41965484619140625
361,0.42279186844825745,0.42279186844825745,0.42279186844825745
368,0.42555734515190125,0.42555734515190125,0.42555734515190125
372,0.4262573719024658,0.4262573719024658,0.4262573719024658
382,0.4291081130504608,0.4291081130504608,0.4291081130504608
389,0.4325605034828186,0.4325605034828186,0.4325605034828186
397,0.4353019893169403,0.4353019893169403,0.4353019893169403
405,0.43754807114601135,0.43754807114601135,0.43754807114601135
414,0.438541054725647,0.438541054725647,0.438541054725647
425,0.4429697096347809,0.4429697096347809,0.4429697096347809
430,0.4436359405517578,0.4436359405517578,0.4436359405517578
435,0.44512781500816345,0.44512781500816345,0.44512781500816345
447,0.4478885531425476,0.4478885531425476,0.4478885531425476
455,0.4497033953666687,0.4497033953666687,0.4497033953666687
461,0.4507789611816406,0.4507789611816406,0.4507789611816406
465,0.4523479640483856,0.4523479640483856,0.4523479640483856
472,0.4551739990711212,0.4551739990711212,0.4551739990711212
477,0.4564005434513092,0.4564005434513092,0.4564005434513092
482,0.45726993680000305,0.45726993680000305,0.45726993680000305
490,0.4611598551273346,0.4611598551273346,0.4611598551273346
497,0.4635702967643738,0.4635702967643738,0.4635702967643738
503,0.4657798707485199,0.4657798707485199,0.4657798707485199
506,0.4654269516468048,0.4654269516468048,0.4654269516468048
511,0.46682554483413696,0.46682554483413696,0.46682554483413696
515,0.46941208839416504,0.46941208839416504,0.46941208839416504
517,0.46994805335998535,0.46994805335998535,0.46994805335998535
519,0.4702436625957489,0.4702436625957489,0.4702436625957489
526,0.47208237648010254,0.47208237648010254,0.47208237648010254
534,0.4736194908618927,0.4736194908618927,0.4736194908618927
549,0.47680145502090454,0.47680145502090454,0.47680145502090454
550,0.4769707918167114,0.4769707918167114,0.4769707918167114
552,0.47762206196784973,0.47762206196784973,0.47762206196784973
568,0.481828898191452,0.481828898191452,0.481828898191452
575,0.4835714101791382,0.4835714101791382,0.4835714101791382
578,0.4845765233039856,0.4845765233039856,0.4845765233039856
583,0.48655927181243896,0.48655927181243896,0.48655927181243896
585,0.4866291880607605,0.4866291880607605,0.4866291880607605
586,0.4866641163825989,0.4866641163825989,0.4866641163825989
589,0.48685210943222046,0.48685210943222046,0.48685210943222046
591,0.4871661961078644,0.4871661961078644,0.4871661961078644
